Step,Value
828197,36.0
828247,36.0
828397,36.0
828697,36.0
828747,36.0
828997,36.0
829097,36.0
829147,36.0
829347,36.0
829397,36.0
829747,36.0
830147,36.0
830197,36.0
830247,36.0
830447,36.0
830997,36.0
831297,36.0
831547,36.0
831697,36.0
832297,36.0
832597,36.0
832847,36.0
832897,36.0
832997,36.0
833197,36.0
833397,36.0
833497,36.0
833747,36.0
834447,36.0
834697,36.0
834747,36.0
834947,36.0
834997,36.0
835197,36.0
835247,36.0
835347,36.0
835747,36.0
835797,36.0
836097,36.0
836147,36.0
836197,36.0
836347,36.0
836797,36.0
837197,36.0
837997,36.0
838197,36.0
838497,36.0
838697,36.0
838797,36.0
839147,36.0
839397,36.0
839447,36.0
840247,36.0
840897,36.0
840947,36.0
841047,36.0
841347,36.0
841797,36.0
841897,36.0
841947,36.0
842097,36.0
842397,36.0
842847,36.0
842997,36.0
843047,36.0
843497,36.0
843547,36.0
844247,36.0
844297,36.0
844397,36.0
844497,36.0
845197,36.0
845447,36.0
845547,36.0
845697,36.0
846097,36.0
846397,36.0
846497,36.0
846647,36.0
846947,36.0
847197,36.0
847247,36.0
847697,36.0
847797,36.0
847997,36.0
848047,36.0
848297,36.0
848497,36.0
848547,36.0
848797,36.0
848897,35.0
848947,35.0
849047,35.0
849147,35.0
849197,35.0
849447,35.0
849497,35.0
849847,35.0
849947,35.0
850247,35.0
850347,35.0
850597,35.0
850847,35.0
850947,35.0
851547,35.0
851897,35.0
851947,35.0
852047,35.0
852097,35.0
852147,35.0
852197,35.0
852297,35.0
852447,35.0
852647,35.0
852897,35.0
853047,35.0
853247,35.0
853397,35.0
853447,35.0
853547,35.0
853597,35.0
853747,35.0
853797,35.0
853947,35.0
853997,35.0
854247,35.0
854297,35.0
854647,35.0
854797,35.0
854997,35.0
855147,35.0
855247,35.0
855347,35.0
855547,35.0
855747,35.0
855897,35.0
855947,35.0
855997,35.0
856047,35.0
856347,35.0
856647,35.0
856747,35.0
856797,35.0
856997,35.0
857197,35.0
857347,35.0
857397,35.0
857447,35.0
857547,35.0
857647,35.0
858097,35.0
858147,35.0
858297,35.0
858347,35.0
858397,35.0
858497,35.0
858547,35.0
858847,35.0
859047,35.0
859097,35.0
859197,35.0
859297,35.0
859447,35.0
859497,35.0
859547,35.0
859597,35.0
859747,35.0
859947,35.0
860097,35.0
860197,35.0
860247,35.0
860297,35.0
860597,35.0
860647,35.0
860897,35.0
861097,35.0
861247,35.0
861447,35.0
861647,35.0
861747,35.0
861997,35.0
862147,35.0
863197,35.0
863297,35.0
863347,35.0
863547,35.0
863647,35.0
863847,35.0
863947,35.0
864047,35.0
864197,35.0
864347,35.0
864647,35.0
864847,35.0
865197,35.0
865247,35.0
865297,35.0
865347,35.0
865597,35.0
865697,35.0
865847,35.0
865897,35.0
865947,35.0
865997,35.0
866397,35.0
866447,35.0
866597,35.0
866947,35.0
867097,35.0
867547,35.0
867647,35.0
867697,35.0
867747,35.0
867897,35.0
867947,35.0
868147,35.0
868397,35.0
868447,35.0
868647,35.0
868697,35.0
868747,35.0
868797,35.0
868947,35.0
868997,35.0
869047,35.0
869197,35.0
869247,35.0
869647,35.0
869847,35.0
869947,35.0
870047,35.0
870097,35.0
